x,y,ppm,windspeed,winddir,is_source,Q,Alongwind,Crosswind
274074.77,4684236.54,0.0,4.67,59.6,False,0.0,-48.48,95.1
274079.01,4684189.84,0.72,5.39,71.43,False,0.0,-17.1,57.4
274136.32,4684182.41,0.0,5.7,89.68,False,0.0,-55.53,52.12
274170.81,4684150.57,0.0,6.55,74.26,False,0.0,-91.95,-4.52
274193.63,4684087.96,0.0,4.95,18.1,False,0.0,4.97,-120.04
274103.95,4684111.31,0.09,5.85,69.12,False,0.0,-14.71,-25.6
274102.89,4684050.82,0.0,7.39,82.55,False,0.0,-11.36,-81.32
274179.83,4684011.02,0.09,4.81,54.61,False,0.0,-11.61,-154.17
274148.52,4684070.45,0.14,3.69,46.56,False,0.0,-8.04,-89.6
274246.16,4684141.55,0.0,4.0,10.33,False,0.0,-40.98,-160.33
274266.32,4684081.06,6.1,6.74,4.4,False,0.0,34.56,-188.45
274243.51,4684030.65,0.0,5.72,87.88,False,0.0,-158.64,-105.27
274319.92,4683992.45,0.0,7.03,23.85,False,0.0,29.21,-274.05
274385.71,4684001.47,0.0,6.65,16.0,False,0.0,39.56,-328.25
274392.61,4684057.71,0.0,5.98,11.84,False,0.0,6.81,-319.73
274334.77,4684043.92,0.0,6.99,29.36,False,0.0,-49.38,-263.3
274317.26,4684109.72,0.0,7.19,81.04,False,0.0,-230.14,-56.8
274381.47,4684125.63,0.0,5.02,79.46,False,0.0,-294.53,-59.22
274363.96,4684180.82,0.0,3.75,23.01,False,0.0,-157.37,-240.5
274318.26,4684146.98,0.0,4.86,45.01,False,0.0,-179.76,-155.66
